I have never been afraid of challenges;Я никогда не боялся вызовов
I am afraid for his safety;Я беспокоюсь за его безопасность
An adult should take responsibility for their actions;Взрослый должен брать ответственность за свои действия
You are becoming an adult now;Ты сейчас становишься взрослым
When I turned 18, I officially became an adult;Когда мне исполнилось 18, я официально стал взрослым
Will she be considered an adult at 21?;Будет ли она считаться взрослой в 21 год?
He is not an adult yet, so he can't vote; Он еще не взрослый, поэтому не может голосовать
I agree with your point of view; Я согласен с твоей точкой зрения
We are agreeing on most topics during the meeting; Мы соглашаемся по большинству вопросов во время собрания
Will you agree to change the schedule?; Ты согласишься изменить расписание?
Have you agreed on the terms yet?; Вы уже договорились о условиях?
I don't agree with this decision; Я не согласен с этим решением
This time next week, we will be agreeing on the final details; На следующей неделе в это время мы будем согласовывать окончательные детали
I have never seen such an amazing performance; Я никогда не видел такого удивительного представления
This place must be amazing in summer; Это место, должно быть, удивительно летом
This weather is not amazing at all; Эта погода совсем не удивительная
While I was traveling, I was constantly seeing amazing places; Пока я путешествовал, я постоянно видел удивительные места
He often gets angry at small mistakes; Он часто злится из-за мелких ошибок
I will be angry if they don't apologize
You shouldn't be angry over such trivial things; Тебе не следует злиться из-за таких пустяков
He is not angry anymore; Он больше не злится
She was getting angrier as she continued to argue; Она становилась все злее, продолжая спорить
He usually arrives early; Он обычно приходит рано
They arrived late last night; Они прибыли поздно прошлой ночью
We will arrive at 10 o'clock; Мы прибудем в 10 часов
Have you arrived yet?; Ты уже прибыл?
You should arrive earlier to avoid traffic; Тебе следует приехать раньше, чтобы избежать пробок
By the time you get here, we will have already arrived; К тому времени, как ты сюда доберешься, мы уже прибудем
I was arriving just as the meeting started; Я прибыл как раз когда началось собрание
He stays away from trouble; Он держится подальше от неприятностей
She is walking away; Она уходит
They moved away last year; Они переехали в прошлом году
I will be away next week; На следующей неделе меня не будет
Have you been away for long?; Ты долго отсутствовал?
You should put that book away; Ты должен убрать эту книгу
If you push this button, the door slides away; Если нажать эту кнопку, дверь отъезжает
If they had stayed away, the problem would not have occurred; Если бы они держались подальше, проблемы бы не возникло
I will be back soon; Я скоро вернусь
When I called, she was driving back from the city; Когда я звонил, она возвращалась из города
You must come back before dark; Ты должен вернуться до наступления темноты
She had left the party early because she had felt unwell; Она ушла с вечеринки рано, потому что почувствовала себя плохо
I will call you because I need your advice
We have stayed indoors because it has been raining; Мы остались в помещении, потому что шел дождь
You should apologize because you were wrong; Ты должен извиниться, потому что был неправ
Water boils because it reaches 100 degrees Celsius; Вода закипает, потому что она достигает 100 градусов Цельсия
He becomes nervous when he speaks in public; Он нервничает, когда говорит перед публикой
They became friends in college; Они подружились в колледже
 She might become famous one day; Однажды она может стать знаменитой
 Have you ever been here before?; Ты когда-нибудь был здесь раньше?
 I will finish this before the deadline; Я закончу это до срока
 You should call me before you leave; Ты должен позвонить мне до того, как уйдешь
 She hid behind the door when she heard the noise; Она спряталась за дверью, когда услышала шум
 You must look behind you when you reverse; Ты должен смотреть назад, когда едешь задним ходом
 Leave your worries behind; Оставь свои заботы позади
 Have you ever believed in magic?; Ты когда-нибудь верил в магию?
 You should believe in your own abilities; Ты должен верить в свои собственные способности
 If you believe in yourself, you can achieve great things; Если ты будешь верить в себя, ты сможешь достичь великих вещей
 It is believed by many that he will win the election; Многие верят, что он выиграет выборы
 I am bored at this meeting; Мне скучно на этой встрече
 She is getting bored with the repetitive tasks; Ей надоедают повторяющиеся задачи
 He was bored during the long lecture; Ему было скучно во время длинной лекции
 The class was boring, so I left early; Занятие было скучным, поэтому я ушел раньше
 This could be boring for people who dislike mathematics; Это может быть скучным для людей, которые не любят математику
 You must not break the law; Ты не должен нарушать закон
 If I were to break this contract, I would face serious consequences; Если бы я нарушил этот контракт, меня ожидали бы серьезные последствия
 Break the chocolate into pieces before melting it; Разломай шоколад на кусочки перед тем, как топить его
 The window was broken by the storm; Окно было разбито во время шторма
He always brings his laptop to the meeting; Он всегда приносит свой ноутбук на собрание
She brought her camera to capture the event; Она принесла свою камеру, чтобы запечатлеть событие
Will you bring the documents tomorrow?; Ты принесешь документы завтра?
If I brought my phone, I could call you; Если бы я взял свой телефон, я бы мог позвонить тебе
The gifts were brought by the guests; Подарки были принесены гостями
She calls me every day; Она звонит мне каждый день
I will call you when I arrive; Я позвоню тебе, когда приеду
If I were you, I would call them now; Если бы я был на твоем месте, я бы позвонил им сейчас
Call your sister back as soon as possible!; Перезвони своей сестре как можно скорее!
If you carry on like this, you will succeed; Если ты будешь продолжать в том же духе, ты добьешься успеха
Carry these to the kitchen, please; Отнеси это на кухню, пожалуйста
The message was carried by the wind; Сообщение было разнесено ветром
They carried the sofa upstairs; Они подняли диван наверх
She changed her mind at the last minute; Она изменила своё мнение в последнюю минуту
Have you changed the oil in the car?; Ты поменял масло в машине?
We will change the design next week; Мы изменим дизайн на следующей неделе
You should change your password regularly; Ты должен регулярно менять свой пароль
If I changed my job, I would have more time for family; Если бы я сменил работу, у меня было бы больше времени для семьи
Change your attitude and try again; Измени своё отношение и попробуй ещё раз
The laws were changed by the new government; Законы были изменены новым правительством
While we were talking, she was checking the stock prices; Пока мы разговаривали, она проверяла цены на акции
He is not checking his phone during the meeting; Он не проверяет телефон во время собрания
The tickets were checked at the door; Билеты были проверены у двери
Check the pressure in the tires; Проверь давление в шинах
If I checked my email more often, I would not miss important messages; Если бы я чаще проверял свою почту, я бы не пропускал важные сообщения
Have you checked the oil level in your car?; Ты проверил уровень масла в машине?
I will check the results tomorrow; Я проверю результаты завтра
He climbs mountains as a hobby; Он взбирается на горы как хобби
She is climbing the corporate ladder quickly; Она быстро поднимается по корпоративной лестнице
I have climbed several mountains this year; Я взобрался на несколько гор в этом году
If you climb to the top, you will see the whole city; Если ты поднимешься на вершину, ты увидишь весь город
Climb the ladder carefully!; Взбирайся по лестнице осторожно!
We are closing the deal tomorrow; Мы закрываем сделку завтра
He closed the door quietly; Он тихо закрыл дверь
Have you closed all the windows?; Ты закрыл все окна?
If it rains, close the windows; Если пойдет дождь, закрой окна
If I were you, I would close the deal immediately; Если бы я был на твоем месте, я бы немедленно закрыл сделку
By the time we arrived, the store had already closed; К тому времени, как мы прибыли, магазин уже закрылся
The engine is cold, it hasn’t been started in a while; Двигатель холодный, его давно не запускали
This soup is cold, it needs reheating; Этот суп холодный, его нужно разогреть
It’s too cold to go swimming; Слишком холодно для купания
Her response was rather cold; Её ответ был довольно холодным
I caught a cold last week; На прошлой неделе я простудился
His ideas are quite common and not very original; Его идеи довольно банальны и не очень оригинальны
Traffic jams are common during rush hour; Пробки — частое явление в час пик
Mutual respect is a common goal in any relationship; Взаимное уважение — общая цель в любых отношениях
It's just a common cold, nothing serious; Это просто обычная простуда, ничего серьезного
It's common to feel nervous before an exam; Нервничать перед экзаменом — обычное дело
I am comparing prices before I make a purchase; Я сравниваю цены перед покупкой
They have compared the data from different sources; Они сравнили данные из разных источников
If you compare these two, you will notice the difference; Если ты сравнишь эти два, ты заметишь разницу
If I were to compare the two, I would choose the first; Если бы я сравнивал оба, я бы выбрал первое
The products were compared based on their features; Продукты были сравнены на основе их характеристик
While I was shopping, I was constantly comparing prices; Пока я делал покупки, я постоянно сравнивал цены
They are completing the project this week; Они завершают проект на этой неделе
He completed the race despite the injury; Он завершил гонку, несмотря на травму
I will complete my degree next year; Я закончу своё образование в следующем году
You must complete the form before entering; Ты должен заполнить форму перед входом
If I completed my work early, I would go home; Если бы я закончил работу раньше, я бы пошёл домой
Complete these forms by tomorrow; Заполни эти формы к завтрашнему дню
The building was completed in 2020; Здание было завершено в 2020 году
She stayed cool during the crisis; Она оставалась спокойной во время кризиса
He handled the situation very coolly; Он очень спокойно справился с ситуацией
This book costs ten dollars; Эта книга стоит десять долларов
The project is costing more than we expected; Проект обходится дороже, чем мы ожидали
The damage was costed at thousands of dollars; Ущерб был оценен в тысячи долларов
This road is dangerous due to heavy traffic; Эта дорога опасна из-за интенсивного движения
If you proceed, it will be dangerous; Если ты продолжишь, это будет опасно
They have created a dangerous precedent; Они создали опасный прецедент
You must avoid these dangerous chemicals; Ты должен избегать этих опасных химикатов
If you see a dangerous animal, call for help immediately; Если ты увидишь опасное животное, немедленно зови на помощь
If I were you, I would not visit that dangerous neighborhood; На твоем месте я бы не посещал тот опасный район
A dangerous mistake was made during the operation; Во время операции была допущена опасная ошибка
By the time the help arrived, the situation had become extremely dangerous; К моменту прибытия помощи ситуация стала крайне опасной
She decides quickly when under pressure; Она быстро принимает решения под давлением
He decided to change his job last year; В прошлом году он решил сменить работу
They have decided to sell their house; Они решили продать свой дом
You should decide what’s best for you; Тебе следует решить, что лучше для тебя
If you decide to join us, let me know; Если ты решишь присоединиться к нам, дай мне знать
If I were to decide, I would choose the blue one; Если бы я решал, я бы выбрал синий
Decide now, we can’t wait any longer; Прими решение сейчас, мы больше не можем ждать
They served a delicious roast last night; Вчера вечером они подали вкусное жаркое
You must try these delicious cookies; Ты обязательно должен попробовать эти восхитительные печенья
You would find the dessert delicious if you liked chocolate; Тебе бы понравился десерт, если бы ты любил шоколад
I am not finding this sauce very delicious; Мне этот соус не кажется особенно вкусным
He always notices the difference in quality; Он всегда замечает разницу в качестве
They are looking for a different approach; Они ищут другой подход
She chose a different path in her career; Она выбрала другой путь в своей карьере
We have explored different options; Мы рассмотрели различные варианты
I will try something different next time; В следующий раз я попробую что-то другое
You should consider different perspectives; Тебе следует учитывать разные точки зрения
He wasn’t using different techniques during the training; Во время тренировки он не использовал разные техники
She drives to work every day; Она ездит на работу каждый день
I will drive you to the airport tomorrow; Завтра я отвезу тебя в аэропорт
We have driven over 500 miles today; Сегодня мы проехали более 500 миль
He wasn’t driving when the accident happened; Он не водил машину, когда произошла авария
I will call you during the afternoon; Я позвоню тебе днем
We have completed three projects during this quarter; Мы завершили три проекта в этом квартале
If you were to visit during summer, you would see the festival; Если бы ты приехал летом, ты бы увидел фестиваль
He is not working during his vacation; Он не работает во время своего отпуска
They are each holding a balloon; Каждый из них держит шарик
Each participant will receive a certificate; Каждый участник получит сертификат
Each of them has contributed to the project; Каждый из них внес вклад в проект
If each student studied harder, the overall results would improve; Если бы каждый студент учился усерднее, общие результаты улучшились бы
They are not each aware of the changes; Не каждый из них осведомлен о изменениях;
Who else has completed the assignment?; Кто еще выполнил задание?
What else can we do?; Что еще мы можем сделать?
If he were here, what else would he suggest?; Если бы он был здесь, что бы он еще предложил?
Tell me what else you know; Расскажи, что еще ты знаешь
Nobody else is attending the meeting; Больше никто не присутствует на собрании
Before you called, who else had he spoken to?; Перед тем как ты позвонил, с кем еще он говорил?
She enjoys reading novels; Ей нравится читать романы
He enjoyed the dinner you made; Ему понравился ужин, который ты приготовил
We have enjoyed our stay here; Нам понравилось здесь
If the weather is nice, we will enjoy the picnic; Если погода будет хорошая, мы насладимся пикником
If I were you, I would enjoy every moment; На твоем месте я бы наслаждался каждым моментом
She is not enjoying the party as much as she hoped; Ей не так нравится вечеринка, как она надеялась
She has enough money to buy a new car; У неё достаточно денег, чтобы купить новую машину
Will there be enough chairs for everyone?; Хватит ли стульев для всех?
I have had enough of this noise; С меня хватит этого шума; Мне надоел этот шум
You should sleep enough to feel rested; Ты должен высыпаться, чтобы чувствовать себя отдохнувшим;
If you save enough money, you can buy that house; Если ты накопишь достаточно денег, ты сможешь купить тот дом
If I were rich enough, I would travel the world; Если бы я был достаточно богат, я бы путешествовал по миру
Enough tickets were sold to cover the expenses; Было продано достаточно билетов, чтобы покрыть расходы
She was speaking loudly enough for everyone to hear; Она говорила достаточно громко, чтобы все слышали
I will explain the details later; Я объясню детали позже
You should explain why you were late; Тебе следует объяснить, почему ты опоздал
If I knew more, I could explain better; Если бы я знал больше, я мог бы лучше объяснить
How far is it from here to the station?; Как далеко отсюда до станции?
Go as far as you can see, then see how far you can go; Иди так далеко, как можешь видеть, а затем посмотри, как далеко сможешь дойти
He's not thinking far enough ahead; Он не думает достаточно наперед
That star is far brighter than the others; Та звезда гораздо ярче других
Are you still going far into the project details?; Ты все еще углубляешься в детали проекта?
Have we gone far enough with the reforms?; Мы достаточно продвинулись с реформами?
If I lived that far from work, I would move closer; Если бы я жил так далеко от работы, я бы переехал поближе
Wasn't he driving far too fast for such a narrow road?; Не слишком ли быстро он ехал по такой узкой дороге?
Are you living far from here?; Ты живешь далеко отсюда?
Will you move far if you get the job?; Ты переедешь далеко, если получишь работу?
If I lived far from the city, I would buy a car; Если бы я жил далеко от города, я бы купил машину
What were you doing so far from home last night?; Что ты делал так далеко от дома прошлой ночью?
Verify all facts to avoid false conclusions; Проверяйте все факты, чтобы избежать неверных выводов
This statement is false; Это утверждение неверно
They weren't operating under any false assumptions during the project
He is making few changes to the plan; Он вносит немного изменений в план
They spent a few days in the countryside; Они провели несколько дней в деревне
We have solved a few problems this week; На этой неделе мы решили несколько проблем
You should try to save a few dollars each week; Тебе следует пытаться откладывать несколько долларов каждую неделю
If you read a few pages daily, you will finish the book quickly; Если вы будете читать по несколько страниц в день, вы быстро прочтете книгу
If I had a few more helpers, we could complete this faster; Если бы у меня было еще несколько помощников, мы быстрее бы завершили это
They felt overwhelmed at the news; Они были потрясены новостями
She feels cold in the morning; Ей холодно по утрам
We have felt this way since yesterday; Мы чувствуем себя так с вчерашнего дня
I am not feeling well this morning; Сегодня утром я чувствую себя плохо
You must fill out this application carefully; Ты должен внимательно заполнить эту заявку
Fill up this bucket with sand; Наполни этот ведро песком
The form was filled incorrectly; Форма была заполнена неправильно
He followed the recipe exactly, but it didn't work; Он точно следовал рецепту, но это не сработало
I will follow your advice; Я последую вашему совету
If you follow the manual, you will assemble it correctly; Если ты будешь следовать инструкции, ты правильно соберешь его
The rules are followed by everyone here; Здесь всеми соблюдаются правила
We used to live in New York, but now we live in Paris; Мы раньше жили в Нью-Йорке, а теперь живем в Париже
He used to be a teacher, now he's an engineer; Раньше он был учителем, теперь он инженер
She used to have long hair; У неё раньше были длинные волосы
They used to go to the cinema every Friday; Они раньше ходили в кино каждую пятницу
I didn't use to like coffee, but now I love it; Раньше мне не нравился кофе, но теперь я его люблю
My brother used to collect stamps; Мой брат раньше коллекционировал марки
We used to meet quite often; Мы часто встречались раньше
You used to be so shy!; Ты раньше был таким застенчивым!
It used to be easier to find a job; Раньше было проще найти работу
There used to be a grocery store here; Здесь раньше был продуктовый магазин
I used to feel so anxious about speaking in public; Раньше я так волновался, когда мне нужно было выступать публично
She used to bake fresh bread every Sunday; Раньше каждое воскресенье она пекла свежий хлеб
This park used to be a marketplace; Этот парк раньше был рынком
We used to spend hours just talking; Мы раньше проводили часы, просто разговаривая
She used to prefer tea over coffee; Она раньше предпочитала чай кофе
I used to be much more impulsive; Я раньше был гораздо более импульсивным
He used to smoke, but he quit five years ago; Он курил раньше, но бросил пять лет назад
I used to speak fluent French; Я раньше свободно говорил по-французски
She is used to the cold weather here; Она привыкла к холодной погоде здесь
They were used to waking up early; Они привыкли просыпаться рано
You should be used to the noise if you live in a big city; Ты должен привыкнуть к шуму, если живешь в большом городе
If you practice enough, you will be used to speaking English; Если ты будешь достаточно практиковаться, ты привыкнешь говорить по-английски
If I lived here, I would be used to the heat; Если бы я жил здесь, я бы привык к жаре
Get used to it, this is how things work here; Привыкайте к этому, здесь все так устроено
He is used to the noise in the city; Он привык к шуму в городе
I have been used to this climate for many years; Я привык к этому климату много лет назад
You should be used to their accent by now; Ты уже должен был привыкнуть к их акценту
Such delays are common here, and most people are used to them; Такие задержки здесь обычны, и большинство людей привыкли к ним
She is used to handling large projects; Она привыкла руководить крупными проектами
Are you used to driving on the left?; Ты привык водить машину по левой стороне?
After ten years here, I am used to the busy city life; После десяти лет здесь я привык к суетливой городской жизни
You'll need to be used to multitasking in this job; Тебе придется привыкнуть к многозадачности на этой работе
It takes time to get used to new schedules; Требуется время, чтобы привыкнуть к новому расписанию
She is getting used to her new job; Она привыкает к своей новой работе
You will get used to the climate here; Ты привыкнешь к климату здесь
You might need to get used to different working hours; Тебе, возможно, придется привыкнуть к другим рабочим часам
If you start working nights, you will get used to sleeping during the day; Если ты начнешь работать ночью, ты привыкнешь спать днем
If you moved to a colder country, you would need to get used to the weather; Если бы ты переехал в более холодную страну, тебе пришлось бы привыкнуть к погоде
Get used to working hard if you want to succeed; Привыкай усердно работать, если хочешь добиться успеха
I am not getting used to these early meetings; Я не могу привыкнуть к этим ранним встречам
Leaves fall from the trees in autumn; Листья падают с деревьев осенью
The rain is falling heavily right now; Сейчас идет сильный дождь
Night will fall soon; Скоро наступит ночь
Sales have fallen this quarter; Продажи упали в этом квартале
If it freezes tonight, the road will be slippery and you might fall; Если сегодня ночью замерзнет, дорога будет скользкой, и ты можешь упасть
If you were to fall ill, who would take care of you?; Если бы ты заболел, кто бы за тобой ухаживал?
The book was found where it had fallen; Книгу нашли там, где она упала
By next week, the leaves will have fallen; К следующей неделе листья уже опадут
I wasn’t falling; I was merely stumbling; Я не падал; я просто споткнулся
She finds rare books for a living; Она зарабатывает на жизнь поиском редких книг
They are finding it difficult to get a mortgage; Им трудно получить ипотеку
He found his keys in the couch yesterday; Вчера он нашел свои ключи в диване
I will find a way to solve this problem; Я найду способ решить эту проблему
By the time we arrived, she had already found a solution; К тому времени, как мы прибыли, она уже нашла решение
By the end of the month, you will have found the information you need; К концу месяца ты найдешь необходимую информацию
While I was cleaning, I found an old photo; Пока я убирал, я нашел старую фотографию
I am not finding this joke funny at all; Мне эта шутка совсем не кажется смешной
A solution was found by the team; Команда нашла решение
We have found several interesting artifacts during the excavation; Мы нашли несколько интересных артефактов во время раскопок
You should find someone who can help you; Ты должен найти кого-то, кто сможет тебе помочь
If you look carefully, you will find the document; Если ты будешь внимательно искать, ты найдешь документ
If I found a wallet on the street, I would take it to the police; Если бы я нашел кошелек на улице, я бы отнес его в полицию
We will finish the project by the end of the week; Мы завершим проект к концу недели
If I finished work early, I would go for a walk; Если бы я закончил работу рано, я бы пошел на прогулку
She follows a strict diet; Она придерживается строгой диеты
He followed the recipe exactly, but it didn't work; Он точно следовал рецепту, но это не сработало
I will follow your advice; Я последую вашему совету
You should follow these instructions carefully; Ты должен внимательно следовать этим инструкциям
If you follow the manual, you will assemble it correctly; Если ты будешь следовать инструкции, ты правильно соберешь его
If you followed the trends, you would understand why this is popular; Если бы ты следил за тенденциями, ты бы понял, почему это популярно
The rules are followed by everyone here; Здесь всеми соблюдаются правила
She often forgets her keys; Она часто забывает свои ключи
I am forgetting all my passwords lately; В последнее время я забываю все свои пароли
He forgot to lock the door yesterday; Вчера он забыл запереть дверь
You will forget this moment soon; Ты скоро забудешь этот момент;
We have already forgotten their names; Мы уже забыли их имена
If I were you, I wouldn't forget to thank them; На твоем месте я бы не забыл поблагодарить их
His contribution was forgotten by everyone; Его вклад был забыт всеми
If he had been more attentive, he wouldn't be forgetting these details; Если бы он был более внимателен, он бы не забывал эти детали
If you had followed the instructions, you wouldn't have forgotten to turn off the lights
That joke is really funny; Эта шутка действительно смешная
You are being funny today; Ты сегодня смешной
The movie was funny and everyone laughed; Фильм был смешным, и все смеялись
I think you will find his speech funny; Думаю, тебе покажется его речь смешной
Be funny, but don’t overdo it; Будь смешным, но не переусердствуй
I am not finding this situation funny at all; Мне совсем не кажется эта ситуация смешной
He was trying to be funny, but nobody was laughing; Он пытался быть смешным, но никто не смеялся
If you had seen his face, you would have found it funny; Если бы ты видел его лицо, тебе бы это показалось смешным
If he were more relaxed, his jokes might be funnier; Если бы он был более расслаблен, его шутки могли бы быть смешнее
We have gotten lost every time we visit this city; Мы теряемся каждый раз, когда приезжаем в этот город
Get out of here!; Уходи отсюда!
I am not getting any younger; Я не становлюсь моложе
If you had asked earlier, you could have gotten a discount; Если бы ты спросил раньше, ты мог бы получить скидку
If he were more attentive, he might get better opportunities; Если бы он был внимательнее, он мог бы получить лучшие возможности
They gave us useful advice; Они дали нам полезные советы
She gives money to charity every month; Она каждый месяц жертвует деньги на благотворительность
I will give you a call tomorrow; Я позвоню тебе завтра
You should give him another chance; Ты должен дать ему еще один шанс
Plants grow faster in the right conditions; Растения растут быстрее в подходящих условиях
She is growing herbs in her garden; Она выращивает травы в своем саду
He is not growing any taller; Он не становится выше
She always guesses the answers on the quiz; Она всегда угадывает ответы в викторине
I am guessing they will arrive late; Я предполагаю, что они приедут поздно
He guessed the correct number and won the game; Он угадал правильное число и выиграл игру
We have guessed every riddle so far; Мы до сих пор угадывали все загадки
If you guess the password, you will access the files; Если ты угадаешь пароль, ты получишь доступ к файлам
Guess what I bought today!; Угадай, что я купил сегодня!
I am not guessing anymore, I need facts; Я больше не предполагаю, мне нужны факты
If you had listened carefully, you might have guessed the truth; Если бы ты внимательно слушал, ты мог бы догадаться о правде
Accidents happen when you least expect them; Аварии случаются, когда ты их меньше всего ждешь
What is happening right now?; Что происходит прямо сейчас?
It will happen whether we like it or not; Это случится, нравится нам это или нет
Several strange things have happened this week; На этой неделе произошло несколько странных событий
These things can happen to anyone; Такое может случиться с каждым
I am not letting this happen again; Я не допущу, чтобы это случилось снова
He wasn’t expecting anything to happen that day; Он не ожидал, что в тот день что-то случится
If you had warned us, this wouldn't have happened; Если бы ты нас предупредил, этого бы не произошло
She hates being late; Она ненавидит опаздывать
He hated the movie we saw last night; Он ненавидел фильм, который мы смотрели вчера вечером
We have always hated injustice; Мы всегда ненавидели несправедливость
If you try it, you might hate it; Если ты попробуешь, это тебе может не понравиться
He is hated by many for his actions; Его многие ненавидят за его поступки
While living there, she was hating every moment; Живя там, она ненавидела каждый момент
He wasn’t hating the course, just finding it less useful than expected; Он не ненавидел курс, просто находил его менее полезным, чем ожидал
She has to finish her project by tomorrow; Ей нужно завершить свой проект к завтрашнему дню
He had to leave early yesterday; Вчера ему пришлось уйти рано
You will have to be more careful; Тебе придется быть более осторожным
If it rains, we will have to cancel the event; Если пойдет дождь, нам придется отменить мероприятие
A decision has to be made by tomorrow; Решение должно быть принято к завтрашнему дню
By the time we arrived, they had had to leave; К моменту нашего прибытия им уже пришлось уйти
By the end of the year, you will have had to make a decision; К концу года тебе придется принять решение
She was having to deal with problems all day; Весь день ей приходилось разбираться(иметь дело) с проблемами
She hears well despite her age; Несмотря на свой возраст, она хорошо слышит
He heard the news yesterday; Он услышал новости вчера
If you listen carefully, you will hear the difference; Если ты будешь слушать внимательно, ты услышишь разницу
Hear me out before you respond; Выслушай меня, прежде чем отвечать
By the time she arrived, we had already heard the news; К моменту ее прибытия мы уже услышали новости
He wasn’t hearing the warnings given to him; Он не слышал предупреждений, которые ему давали
If you had paid attention, you would have heard the alarm; Если бы ты обратил внимание, ты бы услышал сигнал тревоги
They helped us move to our new house; Они помогли нам переехать в новый дом
We have helped many people through our charity; Мы помогли многим людям через нашу благотворительность
If you need assistance, I will help you; Если тебе нужна помощь, я помогу тебе
If I had more time, I would help you with your project; Если бы у меня было больше времени, я бы помог тебе с твоим проектом
She hopes for a positive outcome; Она надеется на положительный исход
He hoped that the weather would improve; Он надеялся, что погода улучшится
They have hoped for change for many years; Они надеются на изменения уже много лет
If you apply, I hope you get the job; Если ты подашь заявку, я надеюсь, что ты получишь работу
Hope for the best, but prepare for the worst; Надейся на лучшее, но готовься к худшему
She was hoping to win the lottery when she bought the ticket; Она надеялась выиграть в лотерею, когда купила билет
She imagines a different life for herself; Она представляет себе другую жизнь
While she was reading, she was imagining herself in the story; Пока она читала, она представляла себя в истории
She improves her skills with daily practice; Она улучшает свои навыки ежедневной практикой
They improved the design after feedback; Они улучшили дизайн после получения отзывов
I have improved a lot since last year; Я значительно улучшился с прошлого года
If you study more, you will improve your grades; Если ты будешь больше учиться, ты улучшишь свои оценки
If I had more resources, I could improve the project; Если бы у меня было больше ресурсов, я мог бы улучшить проект
By next year, you will have improved your Spanish; К следующему году ты улучшишь свой испанский
If you had practiced more, you might have improved faster; Если бы ты практиковался больше, ты мог бы улучшиться быстрее
I am assuming you know the basic rules; Я предполагаю, что ты знаешь основные правила
She assumes responsibility for the project; Она берет на себя ответственность за проект
He assumed that everyone agreed with him; Он предположил, что все согласны с ним;
They have assumed too much without asking; Они взяли на себя слишком многое, не спрашивая
